cod,Block,Basal_Area,Grass_cov,density,richness,Canopy,litter
A1U,1,3.373929924,11.25,168,26,0.981676955,2105.96
A1U,2,2.015927804,87.5,32,24,0.941068345,458.92
A1U,3,1.758289718,87.5,28,16,0.971447745,506.56
A1U,4,2.560679185,87.5,20,8,0.927426664,295.36
A1X,1,2.625188649,12.5,148,40,0.981392979,1702.52
A1X,2,2.863006427,8.75,64,28,0.972985497,1506.64
A1X,3,2.352383738,0,78,18,0.981485051,1250.16
A1X,4,2.371567874,0,48,30,0.972050285,869.8
A2U,1,1.452507509,100,8,8,0.929904833,387.6
A2U,2,1.110653534,100,14,14,0.927732605,297.36
A2U,3,1.068963814,75,32,20,0.935300865,503.12
A2U,4,0.916603639,100,4,4,0.879310909,625.04
A2X,1,2.299883013,0,36,18,0.969230677,799.36
A2X,2,1.978966182,0,6,6,0.927470512,761.28
A2X,3,1.818395454,0,18,10,0.937672903,1039.52
A2X,4,1.777741674,0,28,22,0.945697064,970.56
B1U,1,2.396304774,100,36,12,0.965486655,1121.4
B1U,2,1.787420921,100,4,4,0.87663864,677.76
B1U,3,1.482150007,91.25,8,8,0.94134202,1296.04
B1U,4,1.916919727,87.5,40,20,0.9216325,427.52
B1X,1,2.646287585,8.75,76,20,0.980484677,1966.24
B1X,2,2.725885333,5,100,16,0.972172417,1585.08
B1X,3,2.838966175,12.5,114,22,0.983527601,837.8
B1X,4,1.948672589,0,20,16,0.916971799,1012.72
B2U,1,1.596698758,80,10,10,0.913838158,441.76
B2U,2,1.224017905,100,0,0,0.877438549,356.64
B2U,3,0.671929335,62.5,4,4,0.849984006,220.8
B2U,4,1.107390205,100,12,4,0.889995387,595.28
B2X,1,2.770291745,0,162,34,0.985854005,756.32
B2X,2,2.51875306,6.25,58,18,0.955514185,560.28
B2X,3,2.083829403,0,16,12,0.89943434,507.68
B2X,4,2.14206432,12.5,24,20,0.893536223,597.6
