cod,Block,Basal_Area,litter,Canopy,density,richness,Grass_cov
A1U,1,3.373929924,693.08,0.674222959,168,26,11.25
A1U,2,2.015927804,672.16,0.72540895,32,24,87.5
A1U,3,1.758289718,306.24,0.673091017,28,16,87.5
A1U,4,2.560679185,511.84,0.517092091,20,8,87.5
A1X,1,2.625188649,1323.08,0.727180072,148,40,12.5
A1X,2,2.863006427,1186.88,0.699741045,64,28,8.75
A1X,3,2.352383738,942.52,0.747790268,78,18,0
A1X,4,2.371567874,585,0.743627833,48,30,0
A2U,1,1.452507509,591.2,0.48267603,8,8,100
A2U,2,1.110653534,443.04,0.677449753,14,14,100
A2U,3,1.068963814,431.92,0.702425878,32,20,75
A2U,4,0.916603639,461.2,0.410976862,4,4,100
A2X,1,2.299883013,1145.84,0.771951277,36,18,0
A2X,2,1.978966182,733.84,0.779198049,6,6,0
A2X,3,1.818395454,601.36,0.501906141,18,10,0
A2X,4,1.777741674,598.76,0.708556343,28,22,0
B1U,1,2.396304774,694.68,0.674588476,36,12,100
B1U,2,1.787420921,486.64,0.534745351,4,4,100
B1U,3,1.482150007,538.68,0.593987823,8,8,91.25
B1U,4,1.916919727,366.2,0.714762541,40,20,87.5
B1X,1,2.646287585,1152.44,0.775841029,76,20,8.75
B1X,2,2.725885333,1105.88,0.691107832,100,16,5
B1X,3,2.838966175,755.6,0.728064432,114,22,12.5
B1X,4,1.948672589,541.56,0.729741599,20,16,0
B2U,1,1.596698758,330.84,0.445245202,10,10,80
B2U,2,1.224017905,381.84,0.597528366,0,0,100
B2U,3,0.671929335,289.52,0.471918868,4,4,62.5
B2U,4,1.107390205,498.32,0.487244275,12,4,100
B2X,1,2.770291745,1267.28,0.862168758,162,34,0
B2X,2,2.51875306,616.2,0.621685724,58,18,6.25
B2X,3,2.083829403,653,0.557026757,16,12,0
B2X,4,2.14206432,545.48,0.755521212,24,20,12.5
