"date","MNM","Parcela","Bloco","TOTAL_WAGB","composicao","manejo","espaca","trata"
1,"A1U",1,1,1.89542768014215,"1:1","Usual","3x1","1:1_3x1"
1,"A1U",18,2,0.796675673746247,"1:1","Usual","3x1","1:1_3x1"
1,"A1U",21,3,1.26746379742129,"1:1","Usual","3x1","1:1_3x1"
1,"A1U",40,4,1.3873790639446,"1:1","Usual","3x1","1:1_3x1"
1,"A1X",3,1,2.7311534447613,"1:1","Intensive","3x1","1:1_3x1"
1,"A1X",11,2,1.60787534245848,"1:1","Intensive","3x1","1:1_3x1"
1,"A1X",25,3,1.25029649852496,"1:1","Intensive","3x1","1:1_3x1"
1,"A1X",33,4,1.05089679752412,"1:1","Intensive","3x1","1:1_3x1"
1,"A2U",7,1,0.616164400319345,"1:1","Usual","3x2","1:1_3x2"
1,"A2U",13,2,0.346447535723807,"1:1","Usual","3x2","1:1_3x2"
1,"A2U",26,3,0.150729099583085,"1:1","Usual","3x2","1:1_3x2"
1,"A2U",36,4,0.277742719344147,"1:1","Usual","3x2","1:1_3x2"
1,"A2X",5,1,1.4927952426748,"1:1","Intensive","3x2","1:1_3x2"
1,"A2X",20,2,0.763612483345078,"1:1","Intensive","3x2","1:1_3x2"
1,"A2X",24,3,0.278322137524231,"1:1","Intensive","3x2","1:1_3x2"
1,"A2X",34,4,0.676702560408166,"1:1","Intensive","3x2","1:1_3x2"
1,"B1U",6,1,2.16295680064991,"1:2","Usual","3x1","1:2_3x1"
1,"B1U",16,2,0.733928647981319,"1:2","Usual","3x1","1:2_3x1"
1,"B1U",23,3,0.545704047326003,"1:2","Usual","3x1","1:2_3x1"
1,"B1U",38,4,1.02308820144242,"1:2","Usual","3x1","1:2_3x1"
1,"B1X",4,1,3.02260973284442,"1:2","Intensive","3x1","1:2_3x1"
1,"B1X",12,2,1.36073027176519,"1:2","Intensive","3x1","1:2_3x1"
1,"B1X",22,3,3.18211927615879,"1:2","Intensive","3x1","1:2_3x1"
1,"B1X",35,4,1.52620465168119,"1:2","Intensive","3x1","1:2_3x1"
1,"B2U",8,1,0.623252274165579,"1:2","Usual","3x2","1:2_3x2"
1,"B2U",19,2,0.585597583713006,"1:2","Usual","3x2","1:2_3x2"
1,"B2U",29,3,0.290115918707381,"1:2","Usual","3x2","1:2_3x2"
1,"B2U",37,4,0.304942298707591,"1:2","Usual","3x2","1:2_3x2"
1,"B2X",2,1,2.3085737911839,"1:2","Intensive","3x2","1:2_3x2"
1,"B2X",15,2,0.915026497564103,"1:2","Intensive","3x2","1:2_3x2"
